title,type,release_year,runtime (mins),main_genre,countries,streaming_service,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,director
Pure the movie series,MOVIE,2018,144,drama,US,Amazon,6.107832666,453.5,2.12,5.989918256,Amire K Reed
Black Bud,MOVIE,2018,92,thriller,IN,Amazon,6.1,85,0.947,6,Amol Kale
Milgram and the Fastwalkers,MOVIE,2018,109,scifi,US,Amazon,2.5,22,0.6,10,Richard Cutting
Lift,MOVIE,2018,101,comedy,US,Amazon,7.6,41,2.037,5.821511111,Alexander Kaminer
The Consequence,MOVIE,2018,109,drama,US,Amazon,6.107832666,453.5,2.12,5.989918256,Wanly Florexile
NO-ONE,MOVIE,2018,117,drama,US,Amazon,6.8,34,2.12,5.989918256,Lev Prudkin
The Daniel Tiger Movie: Won't You Be Our Neighbor?,MOVIE,2018,48,family,US,Amazon,7.7,13,0.6,6.188235294,Vadim Kapridov
Bully,MOVIE,2018,83,comedy,US,Amazon,5.7,360,3.977,6,
Chris Claremont's X-Men,MOVIE,2018,70,documentation,US,Amazon,7.5,13,7.477,6.6,Patrick Meaney
5K1,MOVIE,2018,108,action,US,Amazon,4.7,58,0.6,5.624277457,Donny Armstrong
Alex & the List,MOVIE,2018,112,comedy,US,Amazon,4.6,1283,4.616,5.7,Harris Goldberg
Mohalla Assi,MOVIE,2018,120,drama,IN,Amazon,6.6,1714,1.079,6.5,Chandra Prakash Dwivedi
2,MOVIE,2018,149,scifi,IN,Amazon,6.4,23572,6.304,6.1,S. Shankar
Ratsasan,MOVIE,2018,170,thriller,IN,Amazon,8.4,38031,7.22,7.7,Ram Kumar
Kaathadi,MOVIE,2018,119,comedy,IN,Amazon,6.3,45,1.021,5.821511111,Kalyaan
Laundry Day,MOVIE,2018,88,drama,US,Amazon,5.4,67,0.713,10,
Permission,MOVIE,2018,96,romance,US,Amazon,5.3,4410,16.362,5,
Peterloo,MOVIE,2018,154,drama,GB,Amazon,6.5,4812,13.044,6.9,
Billy Boy,MOVIE,2018,86,thriller,US,Amazon,4.5,462,4.454,5.3,
Suspiria,MOVIE,2018,152,thriller,"IT,US",Amazon,6.7,73691,20.207,7,Luca Guadagnino
Imaikkaa Nodigal,MOVIE,2018,170,thriller,IN,Amazon,7.4,5356,4.924,7.3,R. Ajay Gnanamuthu
Ice Princess Lily,MOVIE,2018,90,animation,DE,Amazon,5.1,231,3.729,6.9,Sven Unterwaldt Jr.
Astral,MOVIE,2018,83,thriller,GB,Amazon,4.9,4627,5.326,4.6,Chris Mul
The Girl with Two Faces,MOVIE,2018,75,crime,FR,Amazon,6.1,19,0.6,5.763592233,
Beyond the Woods,MOVIE,2018,84,horror,IE,Amazon,4.5,4757,4.498,4.1,Brayden DeMorest-Purdy
Gringo,MOVIE,2018,111,comedy,US,Amazon,6.1,29453,12.572,5.9,
The Pagan King,MOVIE,2018,110,action,"LV,GB",Amazon,6.1,2214,10.927,6.5,Aigars Grauba
What Still Remains,MOVIE,2018,92,thriller,US,Amazon,4.7,1916,6.268,5.1,Josh Mendoza
He's Out There,MOVIE,2018,89,thriller,US,Amazon,5.3,8309,10.665,5.8,
Cold War,MOVIE,2018,88,romance,"FR,PL,GB",Amazon,7.5,55240,12.422,7.5,Pawel Pawlikowski
Sobibor,MOVIE,2018,110,drama,RU,Amazon,6.4,5000,13.165,6.6,Konstantin Khabenskiy
Ash Is Purest White,MOVIE,2018,141,drama,"JP,CN,FR",Amazon,7,8996,8.453,6.8,Zhangke Jia
"Don't Worry, He Won't Get Far on Foot",MOVIE,2018,114,drama,US,Amazon,6.8,26026,16.002,6.7,Gus Van Sant
